entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id	
15	Human	Dendritic cells	FCGR3A				Blood	PBMC	Merkel cell carcinoma	30250229	6	Nat Commun	12.12	Representative marker genes shown in Supplementary Fig. 7. b	Acquired cancer resistance to combination immunotherapy from transcriptional loss of class I HLA	K.G. Paulson	2018.9	GSE117988	
16	Human	Proneural cells	"ASCL1, OLIG2"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"A differential expression test between clusters identified markers of the proneural (e.g., ASCL1, OLIG2) and mesenchymal (e.g., CD44, CHI3L1) subtypes as significant (Supplementary Table S3)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
17	Human	Mesenchymal cells	"CD44, CHI3L1, HIF1A"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"A differential expression test between clusters identified markers of the proneural (e.g., ASCL1, OLIG2) and mesenchymal (e.g., CD44, CHI3L1) subtypes as significant (Supplementary Table S4)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
18	Human	Oligodendrocytes	"PLP1, MAG, OLIG2, SOX10"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"A differential expression test between clusters identified markers of the proneural (e.g., ASCL1, OLIG2) and mesenchymal (e.g., CD44, CHI3L1) subtypes as significant (Supplementary Table S5)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
19	Human	Astrocytes	"GFAP, AQP4, ALDOC"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"The gene-body activities of nonneoplastic cells were readily separated by canonical markers of myeloid, glial, and Endothelial cellss (Fig. 4B)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
20	Human	Myeloid cells	"HLA-DRA, C1QA"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"The gene-body activities of nonneoplastic cells were readily separated by canonical markers of myeloid, glial, and Endothelial cellss (Fig. 5B)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
21	Human	Endothelial cells	"APOLD1, CLDN5"				Tissues	Brain	Glioblastoma	31554641	6	Cancer Discov	29.5	"The gene-body activities of nonneoplastic cells were readily separated by canonical markers of myeloid, glial, and Endothelial cellss (Fig. 6B)"	The phenotypes of proliferating glioblastoma cells reside on a single axis of variation	Lin Wang	2019.12	"EGAS00001002185, EGAS00001001900, EGAS00001003845"	
41	Human	Leukocytes	PTPRC				Tissues	Lung	Non-small cell lung cancer	30359271	3	Respir Res	3.92	"FBXO17 and three marker genes, in- cluding PTPRC (leukocytes), SCGB1A1 (club cells), and EPCAM (lung epithelial cells) were displayed with level of expression indicated by intensity of red."	FBXO17 promotes cell proliferation through activation of Akt in lung adenocarcinoma cells	Suber	2018.1		
42	Human	Club cells	SCGB1A1				Tissues	Lung	Non-small cell lung cancer	30359271	3	Respir Res	3.92	"FBXO17 and three marker genes, in- cluding PTPRC (leukocytes), SCGB1A2 (club cells), and EPCAM (lung epithelial cells) were displayed with level of expression indicated by intensity of red."	FBXO17 promotes cell proliferation through activation of Akt in lung adenocarcinoma cells	Suber	2018.1		
43	Human	Epithelial cells	EPCAM				Tissues	Lung	Non-small cell lung cancer	30359271	3	Respir Res	3.92	"FBXO17 and three marker genes, in- cluding PTPRC (leukocytes), SCGB1A3 (club cells), and EPCAM (lung epithelial cells) were displayed with level of expression indicated by intensity of red."	FBXO17 promotes cell proliferation through activation of Akt in lung adenocarcinoma cells	Suber	2018.1		
47	Human	CD4 T cells	"CD3E, IL7R"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
48	Human	CD8 T cells	"CD3E, CD8A"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
49	Human	CD4 naive T cells	"IL7R, CCR7"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
50	Human	CD4 memory T cells	"IL7R, S100A4"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
51	Human	regulatory T cells (Tregs)	"CD3E, FOXP3"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
52	Human	CD8 naive T cells	"CD8A, CCR7"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
53	Human	CD8 effector T cells	"NKG7, CD8A, PRF1"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
54	Human	CD8 memory T cells	"NKG7, CD8A, S100A4, GZMK"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
55	Human	Natural killer (NK) cells	NKG7	CD3E-			Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"Classification of PBMCs was inferred from the annotation of cluster-specific genes; CD4 T (CD3E, IL7R), CD8 T (CD3E, CD8A), CD4 Naive (IL7R, CCR7), CD4 Memory (IL7R, S100A4), T Regulatory (CD3E, FOXP3), CD8 Naive (CD8A, CCR7), T Exhausted (CD8 Effector (NKG7, CD8A, PRF1), CD8 Memory (NKG7, CD8A, S100A4, GZMK) and NK cells (NKG7 and CD3E negative)."	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
56	Human	exhausted T cells	"LAG3, TIGIT, HAVCR2/TIM3, PDCD1/PD1"				Blood	PBMC	Melanoma	30550791	17	Cell	38.64	"A CD8A/CD8B+ cell cluster expressing mRNAs such as LAG3, TIGIT, HAVCR2/TIM3, and PDCD1/PD1 marked exhausted T cells"	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
57	Human	Macrophages	"CD14, CD163, CD68, MRC1, MSR1, CSF1R"				Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
58	Human	Natural killer (NK) cells	"CD3E, CD247, NCAM1, NKG7, TRDC, "	"CD3D, CD3G"			Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
59	Human	B cells	"CD19, MS4A1"				Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
60	Human	regulatory T cells (Tregs)	"FOXP3, TIGIT, IL2RA, HAVCR2, "	NKG7			Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
61	Human	exhausted T cells	"PDCD1, LAG3, HAVCR2"				Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
62	Human	T helper cells	"CD3D, CD3G, CD4, IL7R"				Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
63	Human	Cytotoxic CD8 T cells	"CD3D, CD3G, CD8A, CD8B"				Organoids		Melanoma	30550791	17	Cell	38.64	"Individual cells were classified by the enrichment of cell type markers:M (CD14, CD163, CD68, MRC1, MSR1, CSF1R), NK (CD3E, CD247, NCAM1, NKG7, TRDC, CD3D negative, CD3G negative), B (CD19, MS4A1), Treg (FOXP3, TIGIT, IL2RA, HAVCR2, NKG7 negative), Tex (PDCD1, LAG3, HAVCR2), Th (CD3D, CD3G, CD4, IL7R), and Tc (CD3D, CD3G, CD8A, CD8B). "	Organoid Modeling of the Tumor Immune Microenvironment	Neal	2018.12	GSE115978	
64	Human	Endothelial cells	"CD34, CDH5, ENG, FLT4, ICAM1, ITGB3, KDR, MCAM, PECAM1, PROCR, SELE, TEK, VCAM1, VWF"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
65	Human	Stromal cells	"ICAM1, ICAM2, ICAM3, ITGA4, ITGB1, KIT, MADCAM1, MME, MMP1, MMP2, MMP9, PDGFRA, PDGFRB, PECAM1, THY1, TIMP1, TIMP2, TLR1, TLR2, TLR3, TLR4, VCAM1"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
66	Human	Cancer associated fibroblasts (CAFs)	"COL6A2, COL6A3, DCN, FAP, THY1"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
67	Human	Basophils	"CD63, CD69, ENPP3, ICAM1, IL3RA, LAMP1, TLR4"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
68	Human	B cells	"CD22, CD40, CD5, CD69, CD70, CD79A, CD79B, CD80, CD86, CD93, FCER2, MS4A1, PAX5, PDCD1, SDC1, TNFRSF13B, TNFRSF13C, TNFRSF9, TNFSF4"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
69	Human	Eosinophils	"CCR3, CD244, CD52, CD53, CXCR3, FCER2, FUT4, IL9R, ITGA4, LAIR1, PTGDR2, S100A9, SIGLEC10, SIGLEC8"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
70	Human	Erythrocytes	"CD24, GYPA, PTPRC"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
71	Human	Mast cells 	"ENPP3, KIT"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
72	Human	Myeloid-derived suppressor cells (MDSCs)	"CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, HLA-DOA, HLA-DOB, HLA-DRA, HLA-DRB1, HLA-DRB5, HLA-DRB6, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
73	Human	Megakaryocytes	"CD9, GP1BA, ITGA2B, ITGAV, ITGB3, PECAM1, SELP"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
74	Human	Dendritic cells	"CCR7, CD1A, CD1B, CD1C, CD207, CD209, CD4, CD40, CD80, CD83, CD86, CMKLR1, DCX, ITGA4, ITGAM, ITGAX, LY75, NRP1, PDCD1LG2"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
75	Human	Naive T cells	"CCR7, CD3D, CD3E, CD3G, CD4, SELL"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
76	Human	Neutrophils	"ANPEP, C5AR1, CD14, CD33, CEACAM8, CSF3R, CXCR1, CXCR2, FCGR1A, FUT4, ITGAM, ITGAX, MME, PECAM1, SELL, TLR2"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
77	Human	Natural killer (NK) cells	"B3GAT1, CD244, CD69, IL2RB, ITGA2, ITGAM, ITGAX, KLRA1, KLRB1, KLRD1, KLRK1, NCAM1, NCR1, NKG2, SIGLEC7, SLAMF6, SLAMF7"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
78	Human	plasmacytoid Dentritic cells (pDC)	"CCR7, CD1A, CD1B, CD1C, CD4, CD40, CD80, CD83, CD86, CD8A, CLEC4C, CMKLR1, IL3RA, ITGA4, ITGAM, ITGAX, NRP1, PDCD1LG2, TLR9"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
79	Human	Platelets	"BSG, CCL5, CCR3, CD109, CD151, CD226, CD36, CD46, CD47, CD48, CD63, CD69, CD84, CD9, CNGB1, CSF3R, FCGR2A, FCGR2B, GP1BA, ICAM2, ITGA2, ITGA2B, ITGA6, ITGAV, ITGB1, ITGB3, JAM3, LAMP2, LRRC32, LYN, PECAM1, SELP, SPN, TNFSF14, VEGFA"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
80	Human	T follicular helper cells (Tfh)	"BCL6, CD3D, CD3E, CD3G, CD4, CD40LG, CD84, CXCR5, ICOS, IL6R, PDCD1, SLAMF1, STAT3, TNFSF4"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
81	Human	T helper1 cells (Th1)	"CCR1, CCR5, CD4, CSF2, CXCR3, DPP4, HAVCR2, IFNA1, IFNGR1, IL2, KLRD1, TNF, TNFSF11"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
82	Human	T helper2 cells (Th2)	"CCR3, CCR4, CCR7, CCR8, CD4, CSF2, CXCR4, GATA3, HAVCR1, ICOS, IL10, IL13, IL1R1, IL4, IL5, IL6, PTGDR2"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
83	Human	T helper9 cells (Th9)	"CD3D, CD3E, CD3G, CD4, GATA3, IRF4, STAT6"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
84	Human	T helper 17 cells (Th17)	"CCR4, CCR6, CD38, CD3D, CD3E, CD3G, CD4, IL17A, IL17F, IL1R1, IL21, IL22, KLRB1, LINC-ROR, STAT3"				Tissues	Tumor	Melanoma	30388455	31	Cell	38.64	Table S3A	A Cancer Cell Program Promotes T Cell Exclusion and Resistance to Checkpoint Blockade	Jerby-Arnon	2018.11	GSE115978	
