entry_id	species	cell_type	gene_symbol	gene_exp	cell_subtype	sub_gene_symbol	sample_type	tissue_type	disease	pubmed_id	count	journal	sci_if	evidence	title	author	date	geo_id
33	Mouse	stomach Epithelial cells	"Epcam, Krt19, Sox9"				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	"Clusters of stomach epithelial cells(expressing high levels of Epcam, Krt19, and Sox9) were included in the analysis of acinar, ductal and metaplastic cells"	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
34	Mouse	Fibroblasts	Dclk1				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	"Importantly, other cell types, including fibroblasts and ductal cells, expressed Dclk1"	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
35	Mouse	Ductal cells	Dclk1				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	"Importantly, other cell types, including fibroblasts and ductal cells, expressed Dclk1"	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
36	Mouse	CD4 T cells	Il18r1				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	CD4 T cells and NK cells also expressed Il18r1	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
37	Mouse	Natural killer (NK) cells	Il18r1				Tissues	Pancreas	Pancreatic cancer	32908137	8	Nat Commun	12	CD4 T cells and NK cells also expressed Il18r1	Single-cell transcriptomes of pancreatic preinvasive lesions and cancer reveal acinar metaplastic cells' heterogeneity	Yehuda Schlesinger 	2020.9	GSE141017
38	Mouse	Tumor cells	"Pmel, Mlana"				Tissues	Tumor	Melanoma	30559380	1	Nature	42.78	co-clustering of spiked-in tumour cells expressing Pmel and Mlana (transcrip- tional markers of melanoma) from all four experiments demonstrated minimal sample-to-sample variability.	Loss of ADAR1 in tumours overcomes resistance to immune checkpoint blockade	Ishizuka	2019.1	GSE110746
39	Mouse	regulatory T cells (Tregs)	"FoxP3, CD4"				Tissues	Tumor	Sarcoma	30343900	2	Cell	38.64	"It is known that intratumoral regulatory T cells (Tregs) in the Mouse express FoxP3, CD4, "	High-Dimensional Analysis Delineates Myeloid and Lymphoid Compartment Remodeling during Successful Immune-Checkpoint Cancer Therapy	Gubin	2018.11	GSE119352
40	Mouse	Lymphocytes	"Cd3e, Nrc1"				Tissues	Tumor	Sarcoma	30343900	2	Cell	38.64	"To examine lymphoid cells, clusters expressing Cd3e and/or Nrc1 (Nkp46) were extracted from aggregated samples."	High-Dimensional Analysis Delineates Myeloid and Lymphoid Compartment Remodeling during Successful Immune-Checkpoint Cancer Therapy	Gubin	2018.11	GSE119352
44	Mouse	Epithelial cells	Epcam				Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	30366930	3	Cancer Discov	29.5	"Epithelial cell adhesion molecule (EpCAM) and platelet-derived growth factor receptor alpha ((PDGFRα)/podoplanin (PDPN) expression were used to sort epithelial cells and CAFs, respectively (Supplementary Figure S1A)"	IL-1-induced JAK/STAT signaling is antagonized by TGF-β to shape CAF heterogeneity in pancreatic ductal adenocarcinoma.	Biffi	2019.2	GSE114417
45	Mouse	Cancer associated fibroblasts (CAFs)	"PDGFR, PDPN"		iCAF	"Il1a, Il6, Lif, Cxcl1, Csf3"	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	30366930	3	Cancer Discov	29.5	"we thus determined the effects of NF-κB pathway inhibition on the expression of iCAF markers, such as Il1a, Il6, Lif, Cxcl1 and Csf3 "	IL-2-induced JAK/STAT signaling is antagonized by TGF-β to shape CAF heterogeneity in pancreatic ductal adenocarcinoma.	Biffi	2019.2	GSE114417
46	Mouse	Cancer associated fibroblasts (CAFs)	"PDGFR, PDPN"		myCAF	"Acta2, Ctgf"	Tissues	Pancreas	Pancreatic ductal adenocarcinoma (PDAC)	30366930	3	Cancer Discov	29.5	"qPCR analysis of iCAF (Il1a, Il6, Lif, Cxcl1 and Csf3) and myCAF (Acta2 and Ctgf) markers in PSCs cultured in Matrigel in control medi"	IL-3-induced JAK/STAT signaling is antagonized by TGF-β to shape CAF heterogeneity in pancreatic ductal adenocarcinoma.	Biffi	2019.2	GSE114417
99	Mouse	Tumor associated Macrophages (TAMs)	"arg1, CD45"		Arg1A	"Gpb2b, Bst1"	Tissues	Colons	Colon tumor (MC38 mouse model)	30613266	2	Theranostics	8.58	The markers that most discriminated Arg1A cells from all other immune cells were Gpb2b and Bst1. 	Arg1 expression defines immunosuppressive subsets of tumor-associated macrophages.	Sean P. Arlauckas	2018.11	GSE112865
100	Mouse	Tumor associated Macrophages (TAMs)	"arg1, CD45"		Arg1B	"Sgk1, Pmepa1, Ms4a7"	Tissues	Colons	Colon tumor (MC38 mouse model)	30613266	2	Theranostics	8.58	"The most discriminating markers for Arg1B were Sgk1, Pmepa1 and Ms4a7"	Arg1 expression defines immunosuppressive subsets of tumor-associated macrophages.	Sean P. Arlauckas	2018.11	GSE112865
101	Mouse	Cytotoxic CD8 T cells	"CD3e, CD8a"		activated T cells	CD44	Tissues	Tumor	Melanoma	30721153	5	JCI Insight	6.21	"we first subsetted single-cell gene expression data based on concomitant expression of CD3e and CD8a, as broad markers of cytotoxic T cells. "	MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in Human cancers.	H. Atakan Ekiz	2019.3	GSE121478
102	Mouse	Cytotoxic CD8 T cells	"CD3e, CD8a"		naive T cell	CD62L	Tissues	Tumor	Melanoma	30721153	5	JCI Insight	6.21	"CD44 and L-selectin (CD62L encoded by Sell gene) are two commonly used markers to distinguish activated (CD44-high, CD62L-low) and na_ve (CD44-low, CD62L-high) T cell subsets. "	MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in Human cancers.	H. Atakan Ekiz	2019.3	GSE121478
103	Mouse	Macrophages	"Itgam, Adgre1"				Tissues	Tumor	Melanoma	30721153	5	JCI Insight	6.21	the frequency of cells expressing Itgam (encoding CD11b) and Adgre1 (encoding F4/80) markers as a measure of macrophages in the TME. 	MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in Human cancers.	H. Atakan Ekiz	2019.3	GSE121478
104	Mouse	Macrophages	"Itgam, Adgre2"		pro-tumorigenic M2 state	"Arg1, TGFb1, Chil3"	Tissues	Tumor	Melanoma	30721153	5	JCI Insight	6.21	"CD11b+F4/80+ macrophages in tumors grown in miR-155 TCKO Mouse expressed higher levels of Arginase 1 (Arg1), tumor growth factor-beta (TGFb1) and chitinase-like 3 (Chil3, also known as Ym1), which are commonly used markers to define pro-tumorigenic M2 state "	MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in Human cancers.	H. Atakan Ekiz	2019.3	GSE121478
105	Mouse	Myeloid-derived suppressor cells (MDSCs)	IL-4Ra				Tissues	Tumor	Melanoma	30721153	5	JCI Insight	6.21	"IL-4Ra, a marker MDSCs in both Mouse and Humans was expressed at a higher frequency in CD11b+F4/80- cells of these Mouse"	MicroRNA-155 coordinates the immunological landscape within murine melanoma and correlates with immunity in Human cancers.	H. Atakan Ekiz	2019.3	GSE121478
111	Mouse	Monocytes	"Cd14, Cd68, Adgre1, Lgals3, Apoe, Mafb, Fcgr3, Ly6e, H2-Aa, H2-Eb1"				Blood	Blood	Normal	30564855	15	Immunogenetics	2.62	Clusters were summarized according to the differential expression of various genes (Online Resource 2).	The genomic organization and expression pattern of the low-affinity Fc gamma receptors (FcγR) in the G_ttingen minipig.	Jerome Egli	2019.2	
114	Mouse	Dendritic cells	"Itgax, Thbd, Cd38, Cd209a, Cd74, Flt3, H2-Aa, H2-Eb1, Ifi30, Napsa, Itgb7, Syngr2, Clec10a, Ahr, Tlr13, CD24a"				Blood	Blood	Normal	30564855	15	Immunogenetics	2.62	Clusters were summarized according to the differential expression of various genes (Online Resource 2).	The genomic organization and expression pattern of the low-affinity Fc gamma receptors (FcγR) in the G_ttingen minipig.	Jerome Egli	2019.2	
117	Mouse	B cells	"Cd79a, Cd19, Cr2, Fcer2a, CD22, Ms4a1, CD86, H2-Ab1, Cd24a, Cd38, CD40"				Blood	Blood	Normal	30564855	15	Immunogenetics	2.62	Clusters were summarized according to the differential expression of various genes (Online Resource 2).	The genomic organization and expression pattern of the low-affinity Fc gamma receptors (FcγR) in the G_ttingen minipig.	Jerome Egli	2019.2	
120	Mouse	T cells	"Cd3e, Cd3d, CD40, CD8a, CD8b1, CD5, Ms4a4b, Cd28, Il7r, Lef1, Dapl1"		Cytotoxic CD8 T cells	"Cd3e, Cd8a, Gzmk, Gzmm, Ccl5, S100a6, Lgals1, Klrk1, Crtam, Eomes"	Blood	Blood	Normal	30564855	15	Immunogenetics	2.62	Clusters were summarized according to the differential expression of various genes (Online Resource 2).	The genomic organization and expression pattern of the low-affinity Fc gamma receptors (FcγR) in the G_ttingen minipig.	Jerome Egli	2019.2	
123	Mouse	Natural killer (NK) cells	"Ncr1, Klrb1c, Klrd1, Klrc1, Klrk1, Itga2, Gzma, Gzmb, Prf1"				Blood	Blood	Normal	30564855	15	Immunogenetics	2.62	Clusters were summarized according to the differential expression of various genes (Online Resource 2).	The genomic organization and expression pattern of the low-affinity Fc gamma receptors (FcγR) in the G_ttingen minipig.	Jerome Egli	2019.2	
142	Mouse	Epithelial cells 	Epcam				Tissues	Lung	Metastatic breast cancer	31462798	1	Nature	42.78	Epcam-expressing epithelial cells 	Metastatic-niche labelling reveals parenchymal cells with stem features 	Ombrato_	2019.8	GEO13150 
143	Mouse	Myeloid cells	"Adgre1, Mrc1 "				Tissues	Breast	Metastatic breast cancer	31541031	1	SCIENCE IMMUNOLOGY 	13.44	revealing F4/80 (Adgre1) and Mrc1 expressing myeloid cell clusters 	Myeloid cell_synthesized coagulation factor X dampens antitumor immunity 	 Claudine Graf	2019.9	
144	Mouse	Macrophages	"C1qa, Mmp12, Il1b "				Tissues	"Spleen, lymph node"	Melanoma	31471106	4	Immunity 	22.55	These immune populations were then classified based on the expression of the known markers for each population 	Oncolytic Viruses Engineered to Enforce Leptin Expression Reprogram Tumor-Infiltrating T Cell Metabolism and Promote Tumor Clearance 	Dayana B. Rivadeneira	2019.9	 GSE133699 
145	Mouse	Monocytes	Il1b 				Tissues	"Spleen, lymph node"	Melanoma	31471106	4	Immunity 	22.55	These immune populations were then classified based on the expression of the known markers for each popula- tion 	Oncolytic Viruses Engineered to Enforce Leptin Expression Reprogram Tumor-Infiltrating T Cell Metabolism and Promote Tumor Clearance 	Dayana B. Rivadeneira	2019.9	 GSE133699 
146	Mouse	Natural killer (NK) cells	Klrb1c 				Tissues	"Spleen, lymph node"	Melanoma	31471106	4	Immunity 	22.55	These immune populations were then classified based on the expression of the known markers for each popula- tion 	Oncolytic Viruses Engineered to Enforce Leptin Expression Reprogram Tumor-Infiltrating T Cell Metabolism and Promote Tumor Clearance 	Dayana B. Rivadeneira	2019.9	 GSE133699 
147	Mouse	T cells 	"CD8b1, Foxp3"				Tissues	"Spleen, lymph node"	Melanoma	31471106	4	Immunity 	22.55	These immune populations were then classified based on the expression of the known markers for each popula- tion 	Oncolytic Viruses Engineered to Enforce Leptin Expression Reprogram Tumor-Infiltrating T Cell Metabolism and Promote Tumor Clearance 	Dayana B. Rivadeneira	2019.9	 GSE133699 
148	Mouse	Oligodendrocyte progenitors	"Ccnd2, Olig1, Meg3"				Tissues	Brain	Glioma	31539496	4	Cell	38.64	Fig6(C)	"Rapid Generation of Somatic Mouse Mosaics with Locus-Specific, Stably Integrated Transgenic Elements "	Gi Bum Kim	2019.9	" GSE117154, GSE131675, GSE131672, GSE131940, GSE131873 "
149	Mouse	Cell cycling cells 	"Hmgb2, Top2a, mKi67"				Tissues	Brain	Glioma	31539496	4	Cell	38.64	Fig6(C)	"Rapid Generation of Somatic Mouse Mosaics with Locus-Specific, Stably Integrated Transgenic Elements "	Gi Bum Kim	2019.9	" GSE117154, GSE131675, GSE131672, GSE131940, GSE131873 "
150	Mouse	Oligodendrocyte-like cells	"Mog, Cnp, Plp1, Mbp"				Tissues	Brain	Glioma	31539496	4	Cell	38.64	Fig6(C)	"Rapid Generation of Somatic Mouse Mosaics with Locus-Specific, Stably Integrated Transgenic Elements "	Gi Bum Kim	2019.9	" GSE117154, GSE131675, GSE131672, GSE131940, GSE131873 "
151	Mouse	Astrocyte-like cells	"Agp4, Gfap, Apoe, Id3"				Tissues	Brain	Glioma	31539496	4	Cell	38.64	Fig6(C)	"Rapid Generation of Somatic Mouse Mosaics with Locus-Specific, Stably Integrated Transgenic Elements "	Gi Bum Kim	2019.9	" GSE117154, GSE131675, GSE131672, GSE131940, GSE131873 "
152	Mouse	Granule neuron progenitors (GNPs)	"Atoh1, Zic1"		GNP_G1	"Mcm6, Srebf1, Ung"		Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
153	Mouse	Granule neuron progenitors (GNPs)	"Atoh1, Zic2"		GNP_S	"Dek, Top2a, Hist1h1t"		Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
154	Mouse	Granule neuron progenitors (GNPs)	"Atoh1, Zic3"		GNP_G2M	"Ccnb2, Cdc20, Cenpa"		Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
155	Mouse	Granule neuron progenitors (GNPs)	"Atoh1, Zic4"		GNP_mature	"Rbfox3, Neurod1, Tubb3"		Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
156	Mouse	Granule neuron progenitors (GNPs)	"Lhx5, Skor1, Tfa2b"					Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
157	Mouse	Oligodendrocytes	"Olig1, Lhfpl3, Sox10"					Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
158	Mouse	glutamatergic Neurons	"Hoxa2, Mroh2a, Hoxb2"					Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
159	Mouse	Immune cells	"Cx3cr1, C1qb, C1qa"					Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
160	Mouse	Astrocytes	"Aqp4, S100b, Slc1a3"					Brain	Sonic hedgehog (SHH) medulloblastoma 	31474569	9	Cancer Cell	26.6	Fig1(D)	Single-Cell Transcriptomics in Medulloblastoma Reveals Tumor-Initiating Progenitors and Oncogenic Cascades during Tumorigenesis and Relapse 	Liguo Zhang	2019.9	 GSE120974 
161	Mouse	Tumor cells			Tumor cells1	"Ube2c, Gal, Top2a"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
162	Mouse	Tumor cells			Tumor cells2	"Bgn, MT2, Meg3"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 4 marker genes expressed in each cluster."	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
163	Mouse	Tumor cells			Tumor cells3	"Grp, Tslp"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 5 marker genes expressed in each cluster."	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
164	Mouse	Myeloid cells			Myeloid1	"Mki67, Hist1h2ap"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
165	Mouse	Myeloid cells			Myeloid2	"Ly6c2, Plac8, Ms4a4c"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
166	Mouse	Myeloid cells			Myeloid3	"Apoe, Pf4, Ccl6"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
167	Mouse	Myeloid cells			Myeloid4	"H2-Eb1, H2-Ab1"		Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
168	Mouse	Fibroblasts	"Col1a1, Mfap5, Mgp"					Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
169	Mouse	Dendritic cells	"Ccl17, Ccl22, Ccr7"					Gastrocnemius muscle 	Sarcoma	31462499	15	PNAS	9.41	"We identified 16 distinct clusters, including 3 tumor cell clusters (clusters 0, 1, and 4), neutrophils (cluster 8), 4 myeloid cell clusters (clusters 3, 2, 6, and 10), T cells (cluster 7). FigS12 Endothelial cellss (cluster 11), muscle cells (cluster 9), and other minor populations (SI Ap- pendix, Fig. S11 A and B). Heat map of top 3 marker genes expressed in each cluster. "	Neutrophils promote tumor resistance to radiation therapy 	Amy J. Wisdom	2019.8	
